Customer_ID;Age;Gender;Item_Purchased;Category;Size;Color;Season;Purchase_Amount__USD_;Payment_Method;Shipping_Type;Location;Frequency_of_Purchases;Review_Rating
1;55;Male;Blouse;Clothing;L;Gray;Winter; $49.00 ;Cash;2-Day Shipping;Kentucky;Fortnightly;4.2
2;19;Male;Sweater;Clothing;L;Maroon;Winter; $45.00 ;PayPal;Next Day Air;Maine;Bi-Weekly;3.0
3;50;Male;Jeans;Clothing;S;Maroon;Spring; $68.00 ;Credit Card;Next Day Air;Massachusetts;Fortnightly;2.6
4;21;Male;Sandals;Footwear;M;Maroon;Spring; $95.00 ;PayPal;Express;Rhode Island;Weekly;2.6
5;45;Male;Blouse;Clothing;M;Turquoise;Spring; $57.00 ;Bank Transfer;Standard;Oregon;Bi-Weekly;3.1
6;46;Male;Sneakers;Footwear;M;White;Summer; $24.00 ;Credit Card;Next Day Air;Wyoming;Quarterly;3.2
7;63;Male;Shirt;Clothing;M;Gray;Fall; $97.00 ;Bank Transfer;Standard;Montana;Annually;4.8
8;27;Male;Shorts;Clothing;L;Charcoal;Winter; $90.00 ;Bank Transfer;Store Pickup;Louisiana;Annually;4.4
9;26;Male;Coat;Outerwear;L;Silver;Summer; $41.00 ;Cash;Standard;West Virginia;Bi-Weekly;4.1
10;57;Male;Handbag;Accessories;M;Pink;Spring; $33.00 ;PayPal;2-Day Shipping;Missouri;Bi-Weekly;4.9
11;53;Male;Shoes;Footwear;L;Purple;Fall; $91.00 ;Cash;2-Day Shipping;Arkansas;Bi-Weekly;3.4
12;30;Male;Shorts;Clothing;S;Olive;Winter; $60.00 ;Bank Transfer;Store Pickup;Hawaii;Quarterly;4.3
13;61;Male;Coat;Outerwear;M;Gold;Winter; $53.00 ;Debit Card;2-Day Shipping;Delaware;Annually;3.5
14;65;Male;Dress;Clothing;M;Violet;Spring; $75.00 ;Venmo;Free Shipping;New Hampshire;Weekly;3.3
15;64;Male;Coat;Outerwear;L;Teal;Winter; $98.00 ;Debit Card;Free Shipping;New York;Weekly;3.6
16;64;Male;Skirt;Clothing;M;Teal;Winter; $49.00 ;Bank Transfer;Next Day Air;Rhode Island;Fortnightly;2.6
17;25;Male;Sunglasses;Accessories;S;Gray;Spring; $83.00 ;Credit Card;Standard;Alabama;Bi-Weekly;3.1
