Customer ID;Item Purchased;Category;Size;Color;Season;Transaction_ID
1;Blouse;Clothing;L;Gray;Winter;1
2;Sweater;Clothing;L;Maroon;Winter;2
3;Jeans;Clothing;S;Maroon;Spring;3
4;Sandals;Footwear;M;Maroon;Spring;4
5;Blouse;Clothing;M;Turquoise;Spring;5
6;Sneakers;Footwear;M;White;Summer;6
7;Shirt;Clothing;M;Gray;Fall;7
8;Shorts;Clothing;L;Charcoal;Winter;8
9;Coat;Outerwear;L;Silver;Summer;9
10;Handbag;Accessories;M;Pink;Spring;10
11;Shoes;Footwear;L;Purple;Fall;11
12;Shorts;Clothing;S;Olive;Winter;12
13;Coat;Outerwear;M;Gold;Winter;13
14;Dress;Clothing;M;Violet;Spring;14
15;Coat;Outerwear;L;Teal;Winter;15
16;Skirt;Clothing;M;Teal;Winter;16
17;Sunglasses;Accessories;S;Gray;Spring;17
18;Dress;Clothing;XL;Lavender;Winter;18
19;Sweater;Clothing;S;Black;Summer;19
20;Pants;Clothing;M;Green;Summer;20
21;Pants;Clothing;M;Black;Winter;21
22;Pants;Clothing;M;Charcoal;Winter;22
23;Pants;Clothing;M;Peach;Summer;23
24;Pants;Clothing;XL;White;Winter;24
25;Jacket;Outerwear;M;Green;Fall;25
26;Hoodie;Clothing;M;Silver;Summer;26
27;Jewelry;Accessories;M;Red;Spring;27
28;Shorts;Clothing;L;Cyan;Summer;28
29;Handbag;Accessories;M;Gray;Fall;29
30;Dress;Clothing;S;Black;Fall;30
31;Jewelry;Accessories;L;Black;Winter;31
32;Dress;Clothing;L;Brown;Winter;32
33;Jacket;Outerwear;M;Silver;Summer;33
34;Pants;Clothing;L;Green;Summer;34
35;T-shirt;Clothing;L;Violet;Spring;35
36;Blouse;Clothing;M;Cyan;Summer;36
37;T-shirt;Clothing;M;Maroon;Winter;37
38;Jeans;Clothing;S;Cyan;Summer;38
39;Dress;Clothing;M;Red;Winter;39
40;Pants;Clothing;S;Turquoise;Summer;40
41;Handbag;Accessories;L;Beige;Winter;41
42;Scarf;Accessories;M;Orange;Spring;42
43;Coat;Outerwear;M;Beige;Spring;43
44;Scarf;Accessories;L;Lavender;Fall;44
45;Hat;Accessories;S;Silver;Summer;45
46;Socks;Clothing;XL;Indigo;Fall;46
47;Shirt;Clothing;L;White;Summer;47
48;Jewelry;Accessories;M;Charcoal;Winter;48
