Shippment ID;Shipping Type;Frequency of Purchases
3793;Express;Fortnightly
475;Express;Fortnightly
2494;Free Shipping;Weekly
3569;Next Day Air;Weekly
684;Free Shipping;Annually
2016;Standard;Weekly
3867;Free Shipping;Quarterly
2117;Free Shipping;Weekly
3103;Express;Annually
1538;2-Day Shipping;Quarterly
705;Store Pickup;Bi-Weekly
2715;Store Pickup;Fortnightly
1902;Express;Fortnightly
1118;Express;Weekly
1967;Free Shipping;Weekly
3785;Store Pickup;Monthly
91;Next Day Air;Bi-Weekly
2420;2-Day Shipping;Quarterly
1893;Free Shipping;Weekly
3046;Standard;Bi-Weekly
2922;Express;Every 3 Months
973;Store Pickup;Quarterly
1202;Store Pickup;Annually
1650;Express;Weekly
698;Store Pickup;Weekly
1503;Express;Annually
3256;Next Day Air;Annually
2138;Next Day Air;Every 3 Months
3744;Free Shipping;Every 3 Months
714;Store Pickup;Weekly
2950;Standard;Monthly
1683;Store Pickup;Monthly
229;Free Shipping;Annually
2860;Store Pickup;Quarterly
1587;2-Day Shipping;Quarterly
2756;2-Day Shipping;Bi-Weekly
2405;Free Shipping;Fortnightly
3025;Store Pickup;Weekly
1070;2-Day Shipping;Every 3 Months
1401;Express;Monthly
3206;Next Day Air;Quarterly
1513;Standard;Annually
1120;Free Shipping;Annually
763;Store Pickup;Fortnightly
1908;Free Shipping;Weekly
1655;2-Day Shipping;Annually
3716;Store Pickup;Quarterly
2164;Free Shipping;Weekly
2194;Store Pickup;Monthly
3102;Next Day Air;Bi-Weekly
1305;Store Pickup;Bi-Weekly
3698;2-Day Shipping;Quarterly
2929;Free Shipping;Weekly
2567;Next Day Air;Weekly
591;Next Day Air;Bi-Weekly
3453;2-Day Shipping;Annually
3515;Store Pickup;Weekly
2911;Store Pickup;Fortnightly
275;Free Shipping;Monthly
1125;Standard;Weekly
2378;Express;Weekly
1427;Store Pickup;Every 3 Months
1898;Free Shipping;Fortnightly
318;2-Day Shipping;Weekly
1372;Standard;Fortnightly
2573;2-Day Shipping;Every 3 Months
3704;2-Day Shipping;Every 3 Months
2425;Store Pickup;Monthly
2008;Next Day Air;Every 3 Months
1032;Express;Weekly
1667;Express;Every 3 Months
1703;Express;Annually
