Customer_ID;Age;Gender;Item_Purchased;Category;Size;Color;Season;Purchase_Amount__USD_;Payment_Method;Transaction_ID;Shipping_Type;Shippment_ID;Location;Location ID;Frequency_of_Purchases;Review_Rating
1;55;Male;Blouse;Clothing;L;Gray;Winter; $49.00 ;Cash;1;2-Day Shipping;1;Kentucky;1;Fortnightly;4.2
2;19;Male;Sweater;Clothing;L;Maroon;Winter; $45.00 ;PayPal;2;Next Day Air;2;Maine;2;Bi-Weekly;3
3;50;Male;Jeans;Clothing;S;Maroon;Spring; $68.00 ;Credit Card;3;Next Day Air;3;Massachusetts;3;Fortnightly;2.6
4;21;Male;Sandals;Footwear;M;Maroon;Spring; $95.00 ;PayPal;4;Express;4;Rhode Island;4;Weekly;2.6
5;45;Male;Blouse;Clothing;M;Turquoise;Spring; $57.00 ;Bank Transfer;5;Standard;5;Oregon;5;Bi-Weekly;3.1
6;46;Male;Sneakers;Footwear;M;White;Summer; $24.00 ;Credit Card;6;Next Day Air;6;Wyoming;6;Quarterly;3.2
7;63;Male;Shirt;Clothing;M;Gray;Fall; $97.00 ;Bank Transfer;7;Standard;7;Montana;7;Annually;4.8
8;27;Male;Shorts;Clothing;L;Charcoal;Winter; $90.00 ;Bank Transfer;8;Store Pickup;8;Louisiana;8;Annually;4.4
9;26;Male;Coat;Outerwear;L;Silver;Summer; $41.00 ;Cash;9;Standard;9;West Virginia;9;Bi-Weekly;4.1
10;57;Male;Handbag;Accessories;M;Pink;Spring; $33.00 ;PayPal;10;2-Day Shipping;10;Missouri;10;Bi-Weekly;4.9
11;53;Male;Shoes;Footwear;L;Purple;Fall; $91.00 ;Cash;11;2-Day Shipping;11;Arkansas;11;Bi-Weekly;3.4
12;30;Male;Shorts;Clothing;S;Olive;Winter; $60.00 ;Bank Transfer;12;Store Pickup;12;Hawaii;12;Quarterly;4.3
13;61;Male;Coat;Outerwear;M;Gold;Winter; $53.00 ;Debit Card;13;2-Day Shipping;13;Delaware;13;Annually;3.5
14;65;Male;Dress;Clothing;M;Violet;Spring; $75.00 ;Venmo;14;Free Shipping;14;New Hampshire;14;Weekly;3.3
15;64;Male;Coat;Outerwear;L;Teal;Winter; $98.00 ;Debit Card;15;Free Shipping;15;New York;15;Weekly;3.6
16;64;Male;Skirt;Clothing;M;Teal;Winter; $49.00 ;Bank Transfer;16;Next Day Air;16;Rhode Island;16;Fortnightly;2.6
17;25;Male;Sunglasses;Accessories;S;Gray;Spring; $83.00 ;Credit Card;17;Standard;17;Alabama;17;Bi-Weekly;3.1
18;53;Male;Dress;Clothing;XL;Lavender;Winter; $52.00 ;Bank Transfer;18;Store Pickup;18;Mississippi;18;Weekly;3.5
19;52;Male;Sweater;Clothing;S;Black;Summer; $44.00 ;PayPal;19;Express;19;Montana;19;Weekly;2.7
20;66;Male;Pants;Clothing;M;Green;Summer; $96.00 ;Cash;20;Express;20;Rhode Island;20;Weekly;5
21;21;Male;Pants;Clothing;M;Black;Winter; $36.00 ;Bank Transfer;21;2-Day Shipping;21;Louisiana;21;Annually;4.5
22;31;Male;Pants;Clothing;M;Charcoal;Winter; $81.00 ;PayPal;22;2-Day Shipping;22;North Carolina;22;Monthly;4.9
23;56;Male;Pants;Clothing;M;Peach;Summer; $67.00 ;Debit Card;23;Standard;23;California;23;Quarterly;4.7
24;31;Male;Pants;Clothing;XL;White;Winter; $93.00 ;Credit Card;24;Store Pickup;24;Oklahoma;24;Every 3 Months;4.2
25;18;Male;Jacket;Outerwear;M;Green;Fall; $97.00 ;Venmo;25;Standard;25;Florida;25;Quarterly;4.7
26;18;Male;Hoodie;Clothing;M;Silver;Summer; $41.00 ;Bank Transfer;26;Store Pickup;26;Texas;26;Every 3 Months;3.8
27;38;Male;Jewelry;Accessories;M;Red;Spring; $66.00 ;Debit Card;27;Free Shipping;27;Nevada;27;Every 3 Months;4.6
28;56;Male;Shorts;Clothing;L;Cyan;Summer; $87.00 ;Debit Card;28;Store Pickup;28;Kentucky;28;Every 3 Months;3.1
29;54;Male;Handbag;Accessories;M;Gray;Fall; $72.00 ;Venmo;29;2-Day Shipping;29;North Carolina;29;Quarterly;3.7
30;31;Male;Dress;Clothing;S;Black;Fall; $22.00 ;Bank Transfer;30;Standard;30;Wyoming;30;Weekly;4.4
31;57;Male;Jewelry;Accessories;L;Black;Winter; $72.00 ;Credit Card;31;Store Pickup;31;North Carolina;31;Annually;4.8
32;33;Male;Dress;Clothing;L;Brown;Winter; $62.00 ;Debit Card;32;Standard;32;West Virginia;32;Fortnightly;4.7
33;36;Male;Jacket;Outerwear;M;Silver;Summer; $80.00 ;PayPal;33;Free Shipping;33;Kansas;33;Weekly;4.1
34;54;Male;Pants;Clothing;L;Green;Summer; $24.00 ;Credit Card;34;2-Day Shipping;34;Colorado;34;Annually;4
35;36;Male;T-shirt;Clothing;L;Violet;Spring; $21.00 ;Bank Transfer;35;Standard;35;North Dakota;35;Bi-Weekly;3.3
36;54;Male;Blouse;Clothing;M;Cyan;Summer; $27.00 ;Venmo;36;Next Day Air;36;Massachusetts;36;Bi-Weekly;2.9
37;35;Male;T-shirt;Clothing;M;Maroon;Winter; $89.00 ;Venmo;37;2-Day Shipping;37;Illinois;37;Fortnightly;3.9
38;35;Male;Jeans;Clothing;S;Cyan;Summer; $34.00 ;PayPal;38;Standard;38;Indiana;38;Fortnightly;4
39;29;Male;Dress;Clothing;M;Red;Winter; $28.00 ;Bank Transfer;39;Express;39;Florida;39;Monthly;4.7
40;70;Male;Pants;Clothing;S;Turquoise;Summer; $40.00 ;Credit Card;40;Express;40;Arizona;40;Weekly;2.5
41;69;Male;Handbag;Accessories;L;Beige;Winter; $72.00 ;Credit Card;41;2-Day Shipping;41;Louisiana;41;Quarterly;4.9
42;67;Male;Scarf;Accessories;M;Orange;Spring; $31.00 ;Credit Card;42;2-Day Shipping;42;Alaska;42;Quarterly;2.8
43;20;Male;Coat;Outerwear;M;Beige;Spring; $29.00 ;Bank Transfer;43;Standard;43;Tennessee;43;Annually;4.9
44;25;Male;Scarf;Accessories;L;Lavender;Fall; $55.00 ;Venmo;44;Free Shipping;44;Ohio;44;Fortnightly;4.2
45;39;Male;Hat;Accessories;S;Silver;Summer; $83.00 ;Credit Card;45;Standard;45;Kentucky;45;Quarterly;2.6
46;50;Male;Socks;Clothing;XL;Indigo;Fall; $29.00 ;PayPal;46;Free Shipping;46;Tennessee;46;Quarterly;3.9
47;57;Male;Shirt;Clothing;L;White;Summer; $59.00 ;Debit Card;47;2-Day Shipping;47;California;47;Annually;3.5
48;55;Male;Jewelry;Accessories;M;Charcoal;Winter; $88.00 ;Bank Transfer;48;Next Day Air;48;Montana;48;Fortnightly;3.1
49;42;Male;Shirt;Clothing;M;Orange;Summer; $100.00 ;Debit Card;49;Standard;49;Nevada;49;Weekly;4
50;68;Male;Hoodie;Clothing;S;Indigo;Spring; $41.00 ;Venmo;50;Standard;50;New Jersey;50;Quarterly;4
51;49;Male;Blouse;Clothing;M;Red;Spring; $52.00 ;Cash;51;Express;51;Maryland;51;Every 3 Months;3.7
52;59;Male;Skirt;Clothing;XL;Gray;Winter; $100.00 ;Cash;52;Standard;52;Vermont;52;Quarterly;4.3
53;42;Male;T-shirt;Clothing;M;Green;Summer; $48.00 ;Venmo;53;Next Day Air;53;Alaska;53;Annually;2.6
54;29;Male;Skirt;Clothing;S;Peach;Winter; $65.00 ;Cash;54;2-Day Shipping;54;Mississippi;54;Monthly;2.9
55;47;Male;Coat;Outerwear;M;Brown;Summer; $32.00 ;Venmo;55;Express;55;New Mexico;55;Annually;3.4
56;40;Male;Jacket;Outerwear;M;Lavender;Winter; $52.00 ;Venmo;56;2-Day Shipping;56;South Carolina;56;Quarterly;2.9
57;41;Male;Backpack;Accessories;XL;Brown;Summer; $32.00 ;Venmo;57;Next Day Air;57;Mississippi;57;Annually;3.1
58;21;Male;Coat;Outerwear;M;White;Summer; $47.00 ;Credit Card;58;Standard;58;West Virginia;58;Fortnightly;3.4
59;69;Male;Hoodie;Clothing;M;Charcoal;Summer; $80.00 ;Credit Card;59;Store Pickup;59;Missouri;59;Monthly;4.7
60;63;Male;Belt;Accessories;L;Yellow;Spring; $62.00 ;Bank Transfer;60;Next Day Air;60;Louisiana;60;Every 3 Months;4.3
61;50;Male;Sweater;Clothing;L;Brown;Summer; $36.00 ;Cash;61;Express;61;Idaho;61;Every 3 Months;3.6
62;55;Male;Scarf;Accessories;M;Orange;Winter; $21.00 ;PayPal;62;Next Day Air;62;Texas;62;Monthly;3.5
63;30;Male;Sneakers;Footwear;S;Magenta;Spring; $67.00 ;PayPal;63;Free Shipping;63;Mississippi;63;Quarterly;2.7
64;33;Male;Sunglasses;Accessories;L;Lavender;Winter; $64.00 ;Credit Card;64;Express;64;Arizona;64;Quarterly;3.9
65;65;Male;Boots;Footwear;S;Green;Fall; $93.00 ;PayPal;65;2-Day Shipping;65;Alabama;65;Fortnightly;3.2
66;65;Male;Backpack;Accessories;M;Purple;Spring; $68.00 ;Credit Card;66;2-Day Shipping;66;New Jersey;66;Fortnightly;4.5
67;31;Male;Blouse;Clothing;S;Magenta;Winter; $51.00 ;Venmo;67;Free Shipping;67;Pennsylvania;67;Fortnightly;3.1
68;45;Male;Coat;Outerwear;L;Gray;Winter; $66.00 ;Credit Card;68;Standard;68;Connecticut;68;Weekly;4.4
69;57;Male;Handbag;Accessories;L;Silver;Summer; $80.00 ;Bank Transfer;69;2-Day Shipping;69;Utah;69;Bi-Weekly;4.4
