Transaction ID; Purchase Amount (USD) ;Payment Method;Review Rating
3793; $53.00 ;Credit Card;3.1
475; $64.00 ;Bank Transfer;3.1
2494; $73.00 ;Cash;3.1
3569; $90.00 ;PayPal;3.5
684; $49.00 ;Cash;2.7
2016; $20.00 ;Venmo;2.9
3867; $85.00 ;Debit Card;3.2
2117; $34.00 ;Debit Card;3.2
3103; $97.00 ;Venmo;2.6
1538; $31.00 ;PayPal;4.8
705; $34.00 ;Credit Card;4.1
2715; $68.00 ;PayPal;4.9
1902; $72.00 ;PayPal;4.5
1118; $51.00 ;Debit Card;4.7
1967; $53.00 ;PayPal;4.7
3785; $81.00 ;Credit Card;2.8
91; $36.00 ;Venmo;4.1
2420; $38.00 ;Debit Card;4.7
1893; $48.00 ;Bank Transfer;4.6
3046; $90.00 ;Venmo;3.3
2922; $51.00 ;Credit Card;2.8
973; $62.00 ;Credit Card;4.1
1202; $37.00 ;Cash;3.2
1650; $88.00 ;Credit Card;4.4
698; $22.00 ;Cash;2.9
1503; $25.00 ;Bank Transfer;3.6
3256; $20.00 ;Cash;3.6
2138; $56.00 ;Debit Card;5
3744; $94.00 ;Debit Card;4.4
714; $48.00 ;Venmo;4.1
2950; $31.00 ;Bank Transfer;4.7
1683; $79.00 ;Venmo;4.7
229; $67.00 ;Bank Transfer;4.9
2860; $38.00 ;Venmo;3.3
1587; $91.00 ;Debit Card;4.6
2756; $33.00 ;Bank Transfer;4
2405; $69.00 ;Cash;4.6
3025; $45.00 ;Debit Card;2.8
1070; $37.00 ;Debit Card;3.7
1401; $60.00 ;Bank Transfer;4.2
3206; $76.00 ;PayPal;4.6
1513; $39.00 ;Cash;4.5
1120; $100.00 ;Bank Transfer;4.1
763; $69.00 ;PayPal;3.7
1908; $53.00 ;Bank Transfer;4.6
1655; $21.00 ;Venmo;2.9
3716; $43.00 ;Venmo;2.9
2164; $54.00 ;Debit Card;4.5
2194; $55.00 ;Debit Card;2.7
3102; $30.00 ;Bank Transfer;4.6
1305; $28.00 ;Cash;3.7
3698; $59.00 ;PayPal;4.7
2929; $20.00 ;Credit Card;2.6
2567; $24.00 ;Debit Card;3.9
591; $94.00 ;Bank Transfer;4.2
3453; $28.00 ;Venmo;3
3515; $73.00 ;PayPal;4.7
2911; $64.00 ;PayPal;4.4
275; $54.00 ;Credit Card;4.2
1125; $79.00 ;Debit Card;4.6
2378; $37.00 ;Credit Card;4
1427; $68.00 ;Bank Transfer;4.7
1898; $21.00 ;Credit Card;3.8
318; $79.00 ;Credit Card;2.7
1372; $83.00 ;PayPal;4.8
2573; $36.00 ;Credit Card;4.8
3704; $94.00 ;Bank Transfer;4.7
2425; $33.00 ;PayPal;4.4
2008; $46.00 ;Credit Card;3.9
1032; $70.00 ;Credit Card;4.4
1667; $29.00 ;Credit Card;4.2
1703; $48.00 ;Debit Card;2.9
1168; $26.00 ;Debit Card;2.9
3199; $85.00 ;Debit Card;2.7
935; $58.00 ;PayPal;4.5
1731; $85.00 ;Debit Card;2.7
3755; $43.00 ;Bank Transfer;4.2
3478; $53.00 ;Debit Card;3.3
3475; $91.00 ;Venmo;4.7
2519; $96.00 ;Bank Transfer;2.6
1149; $72.00 ;Credit Card;3.3
3803; $96.00 ;PayPal;2.6
1331; $28.00 ;Bank Transfer;4
2832; $40.00 ;Debit Card;4.1
3128; $32.00 ;Cash;4.4
3663; $95.00 ;Credit Card;4.5
679; $41.00 ;Venmo;3.7
3558; $53.00 ;Debit Card;3.7
2796; $47.00 ;Credit Card;3.5
2551; $83.00 ;Bank Transfer;3.6
3473; $48.00 ;Venmo;2.9
797; $99.00 ;PayPal;4.6
409; $87.00 ;Cash;4.4
1883; $62.00 ;PayPal;4.5
1279; $76.00 ;Bank Transfer;4.6
2627; $100.00 ;PayPal;3.8
2544; $73.00 ;Venmo;3.6
1647; $92.00 ;PayPal;4.8
1558; $67.00 ;Cash;2.6
681; $40.00 ;Cash;3.7
615; $98.00 ;PayPal;2.7
2374; $85.00 ;Venmo;4.6
2581; $67.00 ;Credit Card;4.8
3666; $89.00 ;Debit Card;4
2980; $24.00 ;Bank Transfer;4.4
2588; $96.00 ;Bank Transfer;3.6
2477; $35.00 ;Cash;3.7
968; $67.00 ;Cash;3.1
2347; $79.00 ;Bank Transfer;3.4
2511; $85.00 ;Cash;2.6
1705; $26.00 ;Bank Transfer;4
1190; $75.00 ;PayPal;5
3306; $65.00 ;Credit Card;4.3
1749; $54.00 ;Debit Card;3.1
1675; $95.00 ;Venmo;3.7
1083; $94.00 ;Cash;3.8
3120; $86.00 ;PayPal;3.4
1113; $32.00 ;Bank Transfer;4.6
998; $45.00 ;Bank Transfer;4.8
3297; $76.00 ;Debit Card;4.3
1858; $84.00 ;PayPal;4
477; $72.00 ;Cash;4.2
3227; $40.00 ;Credit Card;4.8
3365; $89.00 ;Debit Card;3.1
3330; $86.00 ;PayPal;3.1
513; $54.00 ;Cash;3.6
1370; $36.00 ;Bank Transfer;3.9
1735; $89.00 ;Venmo;4.8
733; $32.00 ;Venmo;4.7
3353; $67.00 ;Cash;4.2
1845; $39.00 ;Credit Card;3.7
283; $29.00 ;PayPal;3.9
2876; $58.00 ;Bank Transfer;4.7
2460; $65.00 ;Bank Transfer;2.5
1285; $94.00 ;Credit Card;4.9
370; $81.00 ;PayPal;4.1
2426; $86.00 ;Credit Card;3.3
3420; $43.00 ;Cash;4.7
3101; $29.00 ;Cash;4.4
1638; $95.00 ;Debit Card;3.8
3625; $28.00 ;Bank Transfer;3.9
1151; $46.00 ;PayPal;4.9
643; $58.00 ;PayPal;3.1
3217; $48.00 ;Bank Transfer;2.7
2838; $43.00 ;Credit Card;3.2
1778; $95.00 ;Venmo;4.5
1045; $30.00 ;Debit Card;4
129; $64.00 ;Bank Transfer;3.5
1057; $90.00 ;PayPal;2.6
930; $76.00 ;Venmo;3.2
1575; $96.00 ;Bank Transfer;4.9
2257; $47.00 ;Debit Card;4.5
2188; $85.00 ;PayPal;4.3
2606; $55.00 ;Debit Card;3.2
2037; $98.00 ;Debit Card;3.6
1025; $77.00 ;Cash;4.3
2851; $26.00 ;Venmo;4
173; $68.00 ;Debit Card;3
80; $73.00 ;Bank Transfer;4.1
1458; $27.00 ;Debit Card;3.8
3676; $23.00 ;Bank Transfer;4.6
2236; $49.00 ;Venmo;3
2343; $74.00 ;Credit Card;3
2589; $67.00 ;PayPal;3.4
2657; $65.00 ;Debit Card;2.6
1265; $60.00 ;Credit Card;2.8
1977; $31.00 ;Cash;4
2825; $27.00 ;Venmo;4
3264; $80.00 ;Bank Transfer;3
3551; $30.00 ;Credit Card;3.3
439; $25.00 ;Venmo;2.6
1720; $35.00 ;Debit Card;3.6
1568; $67.00 ;Bank Transfer;3.9
1325; $46.00 ;PayPal;3.4
2988; $35.00 ;Venmo;3.5
371; $86.00 ;Debit Card;2.8
1144; $81.00 ;Bank Transfer;2.7
2085; $42.00 ;Debit Card;3.7
1765; $43.00 ;Debit Card;4.3
71; $31.00 ;Debit Card;4.9
2584; $81.00 ;Cash;3.3
2200; $61.00 ;Venmo;4.7
456; $96.00 ;Venmo;2.8
3521; $29.00 ;Bank Transfer;3.6
93; $33.00 ;Cash;3
586; $32.00 ;Bank Transfer;4.5
3396; $56.00 ;Debit Card;2.9
1545; $94.00 ;Credit Card;3.3
773; $53.00 ;Credit Card;3.1
3329; $82.00 ;Venmo;4.4
1755; $70.00 ;Venmo;3
938; $76.00 ;Credit Card;3.9
2735; $29.00 ;Venmo;2.9
1277; $100.00 ;PayPal;3
1492; $94.00 ;Venmo;3.1
3440; $25.00 ;Credit Card;4.3
3701; $88.00 ;Cash;3.9
2457; $78.00 ;Debit Card;3.2
3537; $45.00 ;Cash;4.8
2764; $73.00 ;Debit Card;3.8
1300; $61.00 ;PayPal;3.3
3008; $22.00 ;Bank Transfer;4.3
467; $38.00 ;Bank Transfer;2.7
1791; $38.00 ;PayPal;3.2
3143; $100.00 ;PayPal;4
3390; $64.00 ;Bank Transfer;3
44; $55.00 ;Venmo;4.2
1505; $91.00 ;Venmo;2.9
1566; $38.00 ;Cash;4.1
3621; $97.00 ;Bank Transfer;3.2
1079; $22.00 ;Venmo;3
87; $92.00 ;Venmo;4.2
2745; $84.00 ;Venmo;4.2
1259; $93.00 ;Cash;4.4
3039; $50.00 ;Cash;4.2
1093; $64.00 ;Bank Transfer;2.8
1592; $61.00 ;Cash;3.7
3243; $48.00 ;Venmo;3.5
761; $45.00 ;Credit Card;2.9
2641; $88.00 ;Venmo;3
3067; $57.00 ;Debit Card;3.7
1626; $68.00 ;Debit Card;4.4
2702; $94.00 ;Venmo;4.5
1462; $41.00 ;Venmo;4.8
1175; $83.00 ;PayPal;2.9
3388; $22.00 ;Debit Card;3.2
943; $74.00 ;Cash;3.3
1796; $90.00 ;Venmo;4.2
735; $79.00 ;Credit Card;2.9
3786; $28.00 ;Cash;4.6
2320; $88.00 ;Venmo;4.1
3141; $26.00 ;Bank Transfer;3.1
3196; $27.00 ;Bank Transfer;4.2
220; $83.00 ;PayPal;4.5
2704; $39.00 ;PayPal;3.7
200; $89.00 ;Cash;3.7
3146; $68.00 ;Debit Card;3.4
2214; $90.00 ;Venmo;3
1530; $34.00 ;Debit Card;4.2
192; $51.00 ;PayPal;2.9
1933; $45.00 ;Credit Card;3.5
225; $88.00 ;PayPal;4.1
3534; $85.00 ;Credit Card;4.3
2335; $100.00 ;Credit Card;2.8
3444; $42.00 ;Debit Card;4.9
854; $53.00 ;Cash;3.3
2219; $86.00 ;Credit Card;3.2
68; $66.00 ;Credit Card;4.4
1536; $100.00 ;Venmo;4.8
1685; $47.00 ;Cash;4.2
1813; $25.00 ;Debit Card;4
3696; $51.00 ;PayPal;2.5
1572; $41.00 ;Cash;3.9
2658; $73.00 ;PayPal;4.9
663; $42.00 ;Credit Card;3.5
2030; $20.00 ;Debit Card;4.2
3036; $30.00 ;Venmo;4.7
575; $53.00 ;PayPal;4.5
2533; $74.00 ;Venmo;2.8
576; $57.00 ;Credit Card;2.9
3341; $57.00 ;Bank Transfer;3.2
