Transaction_ID;Purchase_Amount__USD_;Payment_Method;Review_Rating
1; $49.00 ;Cash;4.2
2; $45.00 ;PayPal;3.0
3; $68.00 ;Credit Card;2.6
4; $95.00 ;PayPal;2.6
5; $57.00 ;Bank Transfer;3.1
6; $24.00 ;Credit Card;3.2
7; $97.00 ;Bank Transfer;4.8
8; $90.00 ;Bank Transfer;4.4
9; $41.00 ;Cash;4.1
10; $33.00 ;PayPal;4.9
11; $91.00 ;Cash;3.4
12; $60.00 ;Bank Transfer;4.3
13; $53.00 ;Debit Card;3.5
14; $75.00 ;Venmo;3.3
15; $98.00 ;Debit Card;3.6
16; $49.00 ;Bank Transfer;2.6
17; $83.00 ;Credit Card;3.1
18; $52.00 ;Bank Transfer;3.5
19; $44.00 ;PayPal;2.7
20; $96.00 ;Cash;5.0
21; $36.00 ;Bank Transfer;4.5
22; $81.00 ;PayPal;4.9
23; $67.00 ;Debit Card;4.7
24; $93.00 ;Credit Card;4.2
25; $97.00 ;Venmo;4.7
26; $41.00 ;Bank Transfer;3.8
27; $66.00 ;Debit Card;4.6
28; $87.00 ;Debit Card;3.1
29; $72.00 ;Venmo;3.7
30; $22.00 ;Bank Transfer;4.4
31; $72.00 ;Credit Card;4.8
32; $62.00 ;Debit Card;4.7
33; $80.00 ;PayPal;4.1
34; $24.00 ;Credit Card;4.0
35; $21.00 ;Bank Transfer;3.3
36; $27.00 ;Venmo;2.9
37; $89.00 ;Venmo;3.9
38; $34.00 ;PayPal;4.0
39; $28.00 ;Bank Transfer;4.7
40; $40.00 ;Credit Card;2.5
41; $72.00 ;Credit Card;4.9
42; $31.00 ;Credit Card;2.8
43; $29.00 ;Bank Transfer;4.9
44; $55.00 ;Venmo;4.2
45; $83.00 ;Credit Card;2.6
46; $29.00 ;PayPal;3.9
47; $59.00 ;Debit Card;3.5
48; $88.00 ;Bank Transfer;3.1
49; $100.00 ;Debit Card;4.0
50; $41.00 ;Venmo;4.0
51; $52.00 ;Cash;3.7
52; $100.00 ;Cash;4.3
53; $48.00 ;Venmo;2.6
54; $65.00 ;Cash;2.9
55; $32.00 ;Venmo;3.4
56; $52.00 ;Venmo;2.9
57; $32.00 ;Venmo;3.1
58; $47.00 ;Credit Card;3.4
59; $80.00 ;Credit Card;4.7
60; $62.00 ;Bank Transfer;4.3
61; $36.00 ;Cash;3.6
62; $21.00 ;PayPal;3.5
63; $67.00 ;PayPal;2.7
64; $64.00 ;Credit Card;3.9
65; $93.00 ;PayPal;3.2
66; $68.00 ;Credit Card;4.5
67; $51.00 ;Venmo;3.1
68; $66.00 ;Credit Card;4.4
69; $80.00 ;Bank Transfer;4.4
70; $49.00 ;Cash;3.3
71; $31.00 ;Debit Card;4.9
72; $63.00 ;PayPal;2.8
73; $62.00 ;Debit Card;3.4
74; $100.00 ;Credit Card;2.7
75; $50.00 ;Venmo;3.7
76; $30.00 ;Venmo;4.0
77; $98.00 ;Credit Card;2.8
78; $82.00 ;Credit Card;4.8
