Shippment_ID;Shipping_Type;Frequency_of_Purchases
1;2-Day Shipping;Fortnightly
2;Next Day Air;Bi-Weekly
3;Next Day Air;Fortnightly
4;Express;Weekly
5;Standard;Bi-Weekly
6;Next Day Air;Quarterly
7;Standard;Annually
8;Store Pickup;Annually
9;Standard;Bi-Weekly
10;2-Day Shipping;Bi-Weekly
11;2-Day Shipping;Bi-Weekly
12;Store Pickup;Quarterly
13;2-Day Shipping;Annually
14;Free Shipping;Weekly
15;Free Shipping;Weekly
16;Next Day Air;Fortnightly
17;Standard;Bi-Weekly
18;Store Pickup;Weekly
19;Express;Weekly
20;Express;Weekly
21;2-Day Shipping;Annually
22;2-Day Shipping;Monthly
23;Standard;Quarterly
24;Store Pickup;Every 3 Months
25;Standard;Quarterly
26;Store Pickup;Every 3 Months
27;Free Shipping;Every 3 Months
28;Store Pickup;Every 3 Months
29;2-Day Shipping;Quarterly
30;Standard;Weekly
31;Store Pickup;Annually
32;Standard;Fortnightly
33;Free Shipping;Weekly
34;2-Day Shipping;Annually
35;Standard;Bi-Weekly
36;Next Day Air;Bi-Weekly
37;2-Day Shipping;Fortnightly
38;Standard;Fortnightly
39;Express;Monthly
40;Express;Weekly
41;2-Day Shipping;Quarterly
42;2-Day Shipping;Quarterly
43;Standard;Annually
44;Free Shipping;Fortnightly
45;Standard;Quarterly
46;Free Shipping;Quarterly
47;2-Day Shipping;Annually
48;Next Day Air;Fortnightly
49;Standard;Weekly
50;Standard;Quarterly
51;Express;Every 3 Months
52;Standard;Quarterly
53;Next Day Air;Annually
54;2-Day Shipping;Monthly
55;Express;Annually
56;2-Day Shipping;Quarterly
57;Next Day Air;Annually
58;Standard;Fortnightly
59;Store Pickup;Monthly
60;Next Day Air;Every 3 Months
61;Express;Every 3 Months
62;Next Day Air;Monthly
63;Free Shipping;Quarterly
64;Express;Quarterly
65;2-Day Shipping;Fortnightly
66;2-Day Shipping;Fortnightly
67;Free Shipping;Fortnightly
68;Standard;Weekly
69;2-Day Shipping;Bi-Weekly
70;Free Shipping;Monthly
71;Store Pickup;Fortnightly
72;Standard;Quarterly
73;Next Day Air;Bi-Weekly
74;Store Pickup;Every 3 Months
75;Free Shipping;Weekly
76;Standard;Monthly
77;Next Day Air;Fortnightly
78;Standard;Quarterly
79;Store Pickup;Annually
80;Standard;Monthly
81;Store Pickup;Monthly
82;Store Pickup;Quarterly
83;Standard;Monthly
84;Free Shipping;Weekly
85;Free Shipping;Bi-Weekly
86;Express;Every 3 Months
87;2-Day Shipping;Fortnightly
88;Next Day Air;Monthly
89;2-Day Shipping;Every 3 Months
90;Express;Annually
91;Next Day Air;Bi-Weekly
92;Store Pickup;Fortnightly
93;Express;Fortnightly
94;Next Day Air;Bi-Weekly
95;Express;Quarterly
96;Free Shipping;Fortnightly
97;Next Day Air;Monthly
98;2-Day Shipping;Weekly
99;Standard;Annually
100;Free Shipping;Quarterly
101;2-Day Shipping;Quarterly
102;2-Day Shipping;Fortnightly
103;Store Pickup;Annually
104;Express;Monthly
105;Free Shipping;Annually
106;Express;Weekly
107;Free Shipping;Fortnightly
108;Standard;Fortnightly
109;Next Day Air;Every 3 Months
110;Free Shipping;Annually
111;Next Day Air;Bi-Weekly
112;Express;Every 3 Months
113;Store Pickup;Quarterly
114;Express;Every 3 Months
115;Express;Annually
116;Express;Annually
117;Standard;Fortnightly
118;2-Day Shipping;Bi-Weekly
119;Next Day Air;Annually
120;Next Day Air;Every 3 Months
121;Free Shipping;Bi-Weekly
122;Express;Monthly
123;Free Shipping;Bi-Weekly
124;Standard;Monthly
125;Store Pickup;Annually
126;Free Shipping;Quarterly
127;Free Shipping;Quarterly
128;2-Day Shipping;Fortnightly
129;2-Day Shipping;Fortnightly
130;Store Pickup;Annually
131;Next Day Air;Bi-Weekly
132;Express;Quarterly
133;Free Shipping;Quarterly
134;Standard;Weekly
135;Express;Fortnightly
136;Free Shipping;Quarterly
137;Standard;Annually
138;Next Day Air;Weekly
139;2-Day Shipping;Quarterly
140;Store Pickup;Fortnightly
141;2-Day Shipping;Bi-Weekly
142;Free Shipping;Every 3 Months
143;Express;Fortnightly
144;Free Shipping;Weekly
145;2-Day Shipping;Weekly
146;Standard;Every 3 Months
147;Free Shipping;Bi-Weekly
148;Express;Annually
149;2-Day Shipping;Annually
150;Free Shipping;Fortnightly
151;Store Pickup;Quarterly
152;2-Day Shipping;Annually
153;2-Day Shipping;Weekly
154;Next Day Air;Every 3 Months
155;Express;Fortnightly
156;Next Day Air;Monthly
157;2-Day Shipping;Annually
158;Standard;Fortnightly
159;Store Pickup;Every 3 Months
160;Express;Quarterly
161;2-Day Shipping;Annually
162;Next Day Air;Every 3 Months
163;Express;Weekly
164;Free Shipping;Weekly
165;2-Day Shipping;Weekly
166;Free Shipping;Annually
167;2-Day Shipping;Weekly
168;2-Day Shipping;Fortnightly
169;Express;Quarterly
170;Express;Monthly
171;Express;Every 3 Months
172;Standard;Bi-Weekly
173;Next Day Air;Fortnightly
174;Next Day Air;Every 3 Months
175;Express;Every 3 Months
176;Store Pickup;Weekly
177;Express;Bi-Weekly
178;Standard;Every 3 Months
179;Store Pickup;Weekly
180;Free Shipping;Weekly
181;Free Shipping;Every 3 Months
182;Express;Every 3 Months
183;Standard;Every 3 Months
184;Express;Monthly
185;2-Day Shipping;Quarterly
186;Store Pickup;Quarterly
187;Free Shipping;Monthly
188;Store Pickup;Fortnightly
189;Standard;Monthly
190;Free Shipping;Every 3 Months
191;Express;Fortnightly
192;Express;Bi-Weekly
193;Free Shipping;Quarterly
194;Standard;Weekly
195;Free Shipping;Weekly
196;2-Day Shipping;Bi-Weekly
197;Store Pickup;Monthly
198;Store Pickup;Quarterly
199;Store Pickup;Quarterly
200;Free Shipping;Quarterly
201;2-Day Shipping;Every 3 Months
202;Store Pickup;Weekly
203;Store Pickup;Monthly
204;Standard;Fortnightly
205;Standard;Fortnightly
