Transaction_ID;Purchase_Amount__USD_;Payment_Method;Review_Rating;Location ID
1; $49.00 ;Cash;4.2;1
2; $45.00 ;PayPal;3;2
3; $68.00 ;Credit Card;2.6;3
4; $95.00 ;PayPal;2.6;4
5; $57.00 ;Bank Transfer;3.1;5
6; $24.00 ;Credit Card;3.2;6
7; $97.00 ;Bank Transfer;4.8;7
8; $90.00 ;Bank Transfer;4.4;8
9; $41.00 ;Cash;4.1;9
10; $33.00 ;PayPal;4.9;10
11; $91.00 ;Cash;3.4;11
12; $60.00 ;Bank Transfer;4.3;12
13; $53.00 ;Debit Card;3.5;13
14; $75.00 ;Venmo;3.3;14
15; $98.00 ;Debit Card;3.6;15
16; $49.00 ;Bank Transfer;2.6;16
17; $83.00 ;Credit Card;3.1;17
18; $52.00 ;Bank Transfer;3.5;18
19; $44.00 ;PayPal;2.7;19
20; $96.00 ;Cash;5;20
21; $36.00 ;Bank Transfer;4.5;21
22; $81.00 ;PayPal;4.9;22
23; $67.00 ;Debit Card;4.7;23
24; $93.00 ;Credit Card;4.2;24
25; $97.00 ;Venmo;4.7;25
26; $41.00 ;Bank Transfer;3.8;26
27; $66.00 ;Debit Card;4.6;27
28; $87.00 ;Debit Card;3.1;28
29; $72.00 ;Venmo;3.7;29
30; $22.00 ;Bank Transfer;4.4;30
31; $72.00 ;Credit Card;4.8;31
32; $62.00 ;Debit Card;4.7;32
33; $80.00 ;PayPal;4.1;33
34; $24.00 ;Credit Card;4;34
35; $21.00 ;Bank Transfer;3.3;35
36; $27.00 ;Venmo;2.9;36
37; $89.00 ;Venmo;3.9;37
38; $34.00 ;PayPal;4;38
39; $28.00 ;Bank Transfer;4.7;39
40; $40.00 ;Credit Card;2.5;40
41; $72.00 ;Credit Card;4.9;41
42; $31.00 ;Credit Card;2.8;42
43; $29.00 ;Bank Transfer;4.9;43
44; $55.00 ;Venmo;4.2;44
45; $83.00 ;Credit Card;2.6;45
46; $29.00 ;PayPal;3.9;46
47; $59.00 ;Debit Card;3.5;47
48; $88.00 ;Bank Transfer;3.1;48
49; $100.00 ;Debit Card;4;49
50; $41.00 ;Venmo;4;50
51; $52.00 ;Cash;3.7;51
52; $100.00 ;Cash;4.3;52
53; $48.00 ;Venmo;2.6;53
54; $65.00 ;Cash;2.9;54
55; $32.00 ;Venmo;3.4;55
56; $52.00 ;Venmo;2.9;56
57; $32.00 ;Venmo;3.1;57
58; $47.00 ;Credit Card;3.4;58
59; $80.00 ;Credit Card;4.7;59
60; $62.00 ;Bank Transfer;4.3;60
61; $36.00 ;Cash;3.6;61
62; $21.00 ;PayPal;3.5;62
63; $67.00 ;PayPal;2.7;63
64; $64.00 ;Credit Card;3.9;64
65; $93.00 ;PayPal;3.2;65
66; $68.00 ;Credit Card;4.5;66
67; $51.00 ;Venmo;3.1;67
68; $66.00 ;Credit Card;4.4;68
69; $80.00 ;Bank Transfer;4.4;69
70; $49.00 ;Cash;3.3;70
71; $31.00 ;Debit Card;4.9;71
72; $63.00 ;PayPal;2.8;72
73; $62.00 ;Debit Card;3.4;73
74; $100.00 ;Credit Card;2.7;74
75; $50.00 ;Venmo;3.7;75
76; $30.00 ;Venmo;4;76
77; $98.00 ;Credit Card;2.8;77
78; $82.00 ;Credit Card;4.8;78
79; $69.00 ;Bank Transfer;3.4;79
80; $73.00 ;Bank Transfer;4.1;80
81; $37.00 ;PayPal;4.7;81
82; $68.00 ;Cash;4.1;82
83; $71.00 ;Bank Transfer;4.4;83
84; $45.00 ;Bank Transfer;2.5;84
85; $69.00 ;Credit Card;2.7;85
86; $56.00 ;Venmo;3.2;86
87; $92.00 ;Venmo;4.2;87
88; $69.00 ;Debit Card;2.5;88
89; $68.00 ;PayPal;4.5;89
90; $95.00 ;Bank Transfer;3.7;90
91; $36.00 ;Venmo;4.1;91
92; $100.00 ;Bank Transfer;3.1;92
93; $33.00 ;Cash;3;93
94; $78.00 ;Venmo;3.5;94
95; $71.00 ;PayPal;3.2;95
96; $59.00 ;Credit Card;2.5;96
97; $76.00 ;Bank Transfer;4.7;97
98; $80.00 ;Venmo;3;98
99; $53.00 ;Venmo;3.4;99
100; $41.00 ;PayPal;4;100
101; $52.00 ;Credit Card;4.6;101
102; $47.00 ;Cash;2.9;102
103; $52.00 ;PayPal;3.7;103
104; $56.00 ;Credit Card;4.9;104
105; $78.00 ;Bank Transfer;3.1;105
106; $93.00 ;Cash;3.9;106
107; $36.00 ;Credit Card;4.4;107
108; $32.00 ;PayPal;3.1;108
109; $95.00 ;Venmo;4.6;109
110; $66.00 ;Cash;2.7;110
111; $98.00 ;Debit Card;4.3;111
112; $48.00 ;Debit Card;4.3;112
113; $79.00 ;Venmo;2.7;113
114; $59.00 ;Bank Transfer;3;114
115; $78.00 ;Bank Transfer;4.4;115
116; $91.00 ;Debit Card;2.6;116
117; $88.00 ;Venmo;2.7;117
118; $25.00 ;Venmo;3.8;118
119; $64.00 ;Credit Card;4.4;119
120; $54.00 ;Credit Card;3.3;120
121; $40.00 ;PayPal;2.9;121
122; $20.00 ;PayPal;3;122
123; $94.00 ;Cash;4.6;123
124; $80.00 ;Debit Card;4.6;124
125; $41.00 ;Cash;3.1;125
126; $37.00 ;Cash;4.1;126
127; $81.00 ;PayPal;4.5;127
128; $68.00 ;Venmo;3.2;128
129; $64.00 ;Bank Transfer;3.5;129
130; $38.00 ;Bank Transfer;2.5;130
131; $43.00 ;Credit Card;2.6;131
132; $76.00 ;Debit Card;3.6;132
133; $47.00 ;Bank Transfer;4.5;133
134; $38.00 ;Venmo;4.3;134
135; $68.00 ;Venmo;2.6;135
136; $38.00 ;Credit Card;3.5;136
137; $98.00 ;Debit Card;4.7;137
138; $28.00 ;Venmo;3.5;138
139; $66.00 ;Bank Transfer;4.8;139
140; $39.00 ;Cash;3.6;140
141; $54.00 ;Venmo;2.8;141
142; $62.00 ;Debit Card;4.4;142
143; $57.00 ;Credit Card;3.9;143
144; $35.00 ;Credit Card;4.3;144
145; $55.00 ;Debit Card;5;145
146; $37.00 ;Credit Card;4.2;146
147; $74.00 ;Credit Card;4.4;147
148; $75.00 ;Debit Card;4.6;148
149; $31.00 ;Credit Card;3.4;149
150; $56.00 ;PayPal;3.2;150
151; $68.00 ;Credit Card;4.4;151
152; $40.00 ;Cash;2.7;152
153; $90.00 ;Debit Card;2.7;153
154; $78.00 ;Debit Card;3.7;154
155; $36.00 ;Debit Card;3.8;155
156; $86.00 ;Debit Card;5;156
157; $89.00 ;Venmo;4;157
158; $23.00 ;Venmo;3.9;158
159; $25.00 ;Cash;3.8;159
160; $33.00 ;Bank Transfer;2.9;160
161; $48.00 ;Cash;3.2;161
162; $82.00 ;Venmo;3.4;162
163; $68.00 ;PayPal;4.5;163
164; $72.00 ;Credit Card;3.2;164
165; $47.00 ;Venmo;3.6;165
166; $23.00 ;Bank Transfer;4.5;166
167; $38.00 ;PayPal;4.8;167
168; $95.00 ;Venmo;4.7;168
169; $64.00 ;Bank Transfer;4.1;169
170; $94.00 ;PayPal;5;170
171; $75.00 ;Credit Card;3.5;171
172; $51.00 ;Cash;2.6;172
173; $68.00 ;Debit Card;3;173
174; $64.00 ;Cash;2.9;174
175; $58.00 ;Credit Card;4;175
176; $26.00 ;Cash;3.6;176
177; $69.00 ;Credit Card;4.8;177
178; $47.00 ;Venmo;4.7;178
179; $62.00 ;Cash;3.3;179
180; $22.00 ;Bank Transfer;3.5;180
181; $81.00 ;Cash;3.8;181
182; $32.00 ;Bank Transfer;3.8;182
183; $34.00 ;Cash;4.4;183
184; $31.00 ;Credit Card;4.5;184
185; $75.00 ;Cash;3.2;185
186; $57.00 ;PayPal;4.6;186
187; $82.00 ;Venmo;4.2;187
188; $38.00 ;Credit Card;4.5;188
189; $86.00 ;Debit Card;4.6;189
190; $73.00 ;Cash;5;190
191; $37.00 ;Cash;4.9;191
192; $51.00 ;PayPal;2.9;192
193; $26.00 ;Credit Card;4;193
194; $51.00 ;Bank Transfer;2.7;194
195; $32.00 ;Venmo;4.7;195
196; $54.00 ;Venmo;4.3;196
197; $98.00 ;Debit Card;2.6;197
198; $59.00 ;Debit Card;3.8;198
199; $64.00 ;PayPal;3.3;199
200; $89.00 ;Cash;3.7;200
201; $80.00 ;PayPal;3.6;201
202; $79.00 ;Bank Transfer;3.2;202
203; $77.00 ;PayPal;4.5;203
204; $33.00 ;Credit Card;4;204
205; $22.00 ;Bank Transfer;4.5;205
206; $22.00 ;Bank Transfer;5;206
207; $52.00 ;Debit Card;4.6;207
208; $55.00 ;Bank Transfer;3.6;208
209; $48.00 ;PayPal;2.5;209
210; $91.00 ;Venmo;3;210
211; $76.00 ;PayPal;3;211
212; $49.00 ;Credit Card;3.3;212
213; $99.00 ;PayPal;3.4;213
214; $58.00 ;PayPal;4.9;214
215; $79.00 ;PayPal;4.8;215
216; $95.00 ;Cash;4;216
217; $79.00 ;Credit Card;3;217
218; $98.00 ;Cash;2.6;218
219; $38.00 ;Cash;3.3;219
220; $83.00 ;PayPal;4.5;220
221; $40.00 ;Bank Transfer;3.8;221
222; $85.00 ;Credit Card;3.7;222
223; $83.00 ;PayPal;3.3;223
224; $57.00 ;Bank Transfer;3.7;224
225; $88.00 ;PayPal;4.1;225
226; $43.00 ;Bank Transfer;4.2;226
227; $35.00 ;PayPal;3;227
228; $81.00 ;Bank Transfer;2.8;228
229; $67.00 ;Bank Transfer;4.9;229
230; $73.00 ;Cash;4.7;230
231; $73.00 ;Bank Transfer;4.6;231
232; $80.00 ;Cash;3;232
233; $37.00 ;PayPal;4.8;233
234; $52.00 ;Credit Card;3.2;234
235; $95.00 ;Debit Card;2.9;235
236; $80.00 ;Bank Transfer;3.9;236
237; $41.00 ;Bank Transfer;4;237
238; $50.00 ;Cash;3.4;238
239; $33.00 ;Venmo;3.5;239
240; $33.00 ;Debit Card;2.8;240
241; $69.00 ;Credit Card;4.6;241
242; $39.00 ;Bank Transfer;3.2;242
243; $90.00 ;Venmo;4.8;243
244; $36.00 ;Venmo;4;244
245; $58.00 ;Bank Transfer;4.7;245
246; $20.00 ;Credit Card;3.7;246
247; $55.00 ;Debit Card;3.3;247
248; $20.00 ;Debit Card;4.3;248
249; $79.00 ;Venmo;4.2;249
250; $70.00 ;Cash;4.9;250
251; $50.00 ;Bank Transfer;4.2;251
252; $82.00 ;Bank Transfer;3.7;252
253; $93.00 ;Bank Transfer;3.8;253
254; $63.00 ;PayPal;4.8;254
255; $55.00 ;Bank Transfer;2.7;255
256; $24.00 ;Credit Card;3.9;256
257; $97.00 ;PayPal;3;257
258; $44.00 ;Cash;2.8;258
259; $69.00 ;Debit Card;3.1;259
260; $94.00 ;PayPal;3.8;260
261; $53.00 ;Cash;4;261
262; $60.00 ;PayPal;2.8;262
263; $38.00 ;PayPal;2.5;263
264; $56.00 ;Debit Card;3.6;264
265; $63.00 ;Cash;2.6;265
266; $59.00 ;Cash;4.4;266
267; $78.00 ;Venmo;4.3;267
268; $100.00 ;Credit Card;3.2;268
269; $95.00 ;PayPal;4.9;269
270; $86.00 ;Credit Card;2.6;270
271; $31.00 ;Cash;4.3;271
272; $97.00 ;PayPal;4.4;272
273; $74.00 ;Credit Card;2.9;273
274; $26.00 ;Debit Card;4.8;274
275; $54.00 ;Credit Card;4.2;275
276; $64.00 ;PayPal;3.1;276
277; $84.00 ;Debit Card;3.2;277
278; $94.00 ;Venmo;4.1;278
279; $45.00 ;Bank Transfer;3.3;279
280; $73.00 ;PayPal;3.2;280
281; $84.00 ;Credit Card;3.8;281
282; $90.00 ;Credit Card;3.6;282
283; $29.00 ;PayPal;3.9;283
284; $56.00 ;Venmo;4.5;284
285; $95.00 ;Bank Transfer;4.6;285
286; $63.00 ;Venmo;4.8;286
287; $33.00 ;Bank Transfer;4.6;287
288; $66.00 ;Bank Transfer;4.7;288
289; $41.00 ;PayPal;4.4;289
290; $29.00 ;Venmo;3.2;290
291; $51.00 ;Credit Card;4.9;291
292; $70.00 ;Bank Transfer;4.1;292
293; $72.00 ;Cash;2.7;293
294; $38.00 ;PayPal;3.5;294
295; $21.00 ;Debit Card;3.4;295
296; $47.00 ;PayPal;2.7;296
297; $42.00 ;Venmo;3.4;297
298; $80.00 ;Venmo;4.7;298
299; $25.00 ;PayPal;3.7;299
300; $20.00 ;Cash;4.6;300
301; $100.00 ;Venmo;4.5;301
302; $40.00 ;PayPal;2.6;302
303; $51.00 ;Debit Card;3.8;303
304; $23.00 ;Debit Card;3.4;304
305; $79.00 ;Debit Card;4.9;305
306; $64.00 ;Bank Transfer;4.9;306
307; $76.00 ;PayPal;4.3;307
308; $60.00 ;Credit Card;3.6;308
309; $36.00 ;Cash;3.5;309
310; $57.00 ;Debit Card;3.1;310
311; $91.00 ;Venmo;3;311
312; $80.00 ;Credit Card;4.8;312
313; $49.00 ;Bank Transfer;4.5;313
314; $51.00 ;Bank Transfer;2.6;314
315; $24.00 ;Venmo;4.5;315
316; $93.00 ;Venmo;4.1;316
317; $32.00 ;Debit Card;4.1;317
318; $79.00 ;Credit Card;2.7;318
319; $59.00 ;Credit Card;3.1;319
320; $39.00 ;Venmo;4.1;320
321; $57.00 ;Venmo;4.7;321
322; $75.00 ;Bank Transfer;4.9;322
323; $22.00 ;Credit Card;4;323
324; $56.00 ;Bank Transfer;4;324
325; $41.00 ;Cash;3.4;325
326; $69.00 ;Bank Transfer;4.5;326
327; $69.00 ;Venmo;4.9;327
328; $96.00 ;Debit Card;2.7;328
329; $47.00 ;Cash;2.6;329
330; $37.00 ;Debit Card;4.6;330
331; $62.00 ;Debit Card;2.9;331
332; $70.00 ;Credit Card;4.4;332
333; $28.00 ;Debit Card;4.2;333
334; $62.00 ;PayPal;3.9;334
335; $33.00 ;Credit Card;4.5;335
336; $29.00 ;Debit Card;4.6;336
337; $33.00 ;Cash;4.5;337
338; $29.00 ;Bank Transfer;3;338
339; $89.00 ;Cash;4.9;339
340; $36.00 ;Debit Card;2.7;340
341; $52.00 ;Venmo;4.9;341
342; $27.00 ;Debit Card;4.6;342
343; $98.00 ;Credit Card;3.1;343
344; $50.00 ;Credit Card;3.7;344
345; $36.00 ;Credit Card;4.7;345
346; $53.00 ;Bank Transfer;4.9;346
347; $58.00 ;Credit Card;2.6;347
348; $51.00 ;Credit Card;2.9;348
349; $86.00 ;Venmo;4.3;349
350; $23.00 ;Cash;3.3;350
351; $98.00 ;Credit Card;3.3;351
352; $31.00 ;Debit Card;3.3;352
353; $86.00 ;Cash;4.9;353
354; $21.00 ;Venmo;3;354
355; $48.00 ;Venmo;3.6;355
356; $81.00 ;Credit Card;4.9;356
357; $20.00 ;Cash;3.4;357
358; $99.00 ;Credit Card;3.2;358
359; $100.00 ;Credit Card;3.9;359
360; $26.00 ;Venmo;4;360
361; $91.00 ;Credit Card;2.9;361
362; $24.00 ;Debit Card;2.7;362
363; $34.00 ;Debit Card;4.6;363
364; $34.00 ;PayPal;3.8;364
365; $38.00 ;Venmo;4;365
366; $79.00 ;Cash;4.8;366
367; $35.00 ;PayPal;2.6;367
368; $60.00 ;PayPal;4.5;368
369; $68.00 ;PayPal;4.7;369
370; $81.00 ;PayPal;4.1;370
371; $86.00 ;Debit Card;2.8;371
372; $88.00 ;Venmo;3;372
373; $23.00 ;PayPal;4.2;373
374; $39.00 ;Cash;3.9;374
375; $85.00 ;Credit Card;3.8;375
376; $93.00 ;Bank Transfer;3.9;376
377; $71.00 ;Credit Card;4.1;377
378; $78.00 ;Venmo;3;378
379; $65.00 ;Debit Card;4.5;379
380; $31.00 ;Cash;4.3;380
381; $45.00 ;Bank Transfer;2.6;381
382; $29.00 ;PayPal;3.4;382
383; $68.00 ;PayPal;4.8;383
384; $85.00 ;Bank Transfer;2.6;384
385; $37.00 ;PayPal;4.1;385
386; $85.00 ;Cash;4.4;386
387; $28.00 ;Credit Card;2.8;387
388; $97.00 ;Debit Card;3.2;388
389; $59.00 ;Bank Transfer;3.6;389
390; $85.00 ;Bank Transfer;3.3;390
391; $70.00 ;Debit Card;3.3;391
392; $100.00 ;Cash;2.7;392
393; $64.00 ;Cash;3.1;393
394; $31.00 ;Venmo;4.9;394
395; $63.00 ;Debit Card;3.2;395
396; $91.00 ;Cash;2.5;396
397; $92.00 ;Cash;2.8;397
398; $62.00 ;Credit Card;3.1;398
399; $95.00 ;Credit Card;4.6;399
400; $73.00 ;Debit Card;3.1;400
401; $25.00 ;Bank Transfer;4.4;401
402; $45.00 ;Bank Transfer;3.4;402
403; $83.00 ;Venmo;3.9;403
404; $51.00 ;Cash;4.4;404
405; $45.00 ;Cash;2.9;405
406; $75.00 ;Credit Card;4.2;406
407; $63.00 ;PayPal;4.9;407
408; $31.00 ;Bank Transfer;3.4;408
409; $87.00 ;Cash;4.4;409
410; $70.00 ;Debit Card;2.6;410
411; $94.00 ;PayPal;3.3;411
412; $68.00 ;Credit Card;3.6;412
413; $30.00 ;Venmo;3.4;413
414; $91.00 ;Bank Transfer;4.1;414
415; $58.00 ;Venmo;2.6;415
416; $50.00 ;Cash;3.8;416
417; $28.00 ;Debit Card;3.5;417
418; $93.00 ;Venmo;2.7;418
419; $53.00 ;Venmo;2.8;419
420; $43.00 ;PayPal;4.6;420
421; $75.00 ;Venmo;4;421
422; $45.00 ;PayPal;3;422
423; $80.00 ;Bank Transfer;3.9;423
424; $67.00 ;Venmo;4.1;424
425; $25.00 ;PayPal;4.5;425
426; $29.00 ;Debit Card;3.5;426
427; $44.00 ;Debit Card;2.6;427
428; $66.00 ;Credit Card;3.9;428
429; $63.00 ;Bank Transfer;3.3;429
430; $60.00 ;Debit Card;3.4;430
431; $94.00 ;Credit Card;3.5;431
432; $45.00 ;Bank Transfer;4.3;432
433; $32.00 ;PayPal;4.3;433
434; $87.00 ;Credit Card;5;434
435; $32.00 ;PayPal;3.5;435
436; $35.00 ;Debit Card;2.6;436
437; $90.00 ;Cash;3.7;437
438; $24.00 ;PayPal;2.8;438
439; $25.00 ;Venmo;2.6;439
440; $69.00 ;Bank Transfer;3.2;440
441; $43.00 ;Credit Card;2.9;441
442; $68.00 ;Cash;4.4;442
443; $47.00 ;Debit Card;2.5;443
444; $56.00 ;Bank Transfer;3.4;444
445; $22.00 ;Bank Transfer;4.6;445
446; $45.00 ;Debit Card;4.4;446
447; $82.00 ;PayPal;4.4;447
448; $63.00 ;PayPal;3.6;448
449; $24.00 ;Cash;3.2;449
450; $36.00 ;Venmo;3.1;450
451; $74.00 ;Venmo;2.6;451
452; $75.00 ;Venmo;4.9;452
453; $80.00 ;Debit Card;4.4;453
454; $82.00 ;Credit Card;2.7;454
455; $56.00 ;PayPal;3.2;455
456; $96.00 ;Venmo;2.8;456
457; $23.00 ;PayPal;2.8;457
458; $73.00 ;Cash;3.5;458
459; $80.00 ;Bank Transfer;4.6;459
460; $33.00 ;Cash;3.6;460
461; $86.00 ;Debit Card;4.3;461
462; $44.00 ;Venmo;4.7;462
463; $23.00 ;Debit Card;3.9;463
464; $90.00 ;Debit Card;4.4;464
465; $89.00 ;Bank Transfer;3.4;465
466; $78.00 ;Cash;4.8;466
467; $38.00 ;Bank Transfer;2.7;467
468; $79.00 ;Cash;3.5;468
469; $92.00 ;Credit Card;4.7;469
470; $88.00 ;Venmo;3.4;470
471; $58.00 ;Credit Card;2.6;471
472; $97.00 ;Cash;5;472
473; $75.00 ;Credit Card;4;473
474; $83.00 ;Credit Card;3.5;474
475; $64.00 ;Bank Transfer;3.1;475
476; $70.00 ;PayPal;4.9;476
477; $72.00 ;Cash;4.2;477
478; $37.00 ;Venmo;4.4;478
479; $83.00 ;PayPal;4.7;479
480; $26.00 ;Venmo;2.7;480
481; $60.00 ;Debit Card;3;481
482; $29.00 ;Debit Card;4.7;482
483; $97.00 ;Bank Transfer;3.2;483
484; $63.00 ;Venmo;2.9;484
485; $36.00 ;Credit Card;4;485
486; $91.00 ;Cash;3.2;486
487; $38.00 ;Cash;2.9;487
488; $53.00 ;Credit Card;4.4;488
489; $98.00 ;Venmo;3.1;489
490; $38.00 ;Debit Card;3.7;490
491; $71.00 ;Credit Card;3;491
