Customer ID;Age;Gender;Item Purchased;Category;Location;Size;Color;Season
1;55;Male;Blouse;Clothing;Kentucky;L;Gray;Winter
2;19;Male;Sweater;Clothing;Maine;L;Maroon;Winter
3;50;Male;Jeans;Clothing;Massachusetts;S;Maroon;Spring
4;21;Male;Sandals;Footwear;Rhode Island;M;Maroon;Spring
5;45;Male;Blouse;Clothing;Oregon;M;Turquoise;Spring
6;46;Male;Sneakers;Footwear;Wyoming;M;White;Summer
7;63;Male;Shirt;Clothing;Montana;M;Gray;Fall
8;27;Male;Shorts;Clothing;Louisiana;L;Charcoal;Winter
9;26;Male;Coat;Outerwear;West Virginia;L;Silver;Summer
10;57;Male;Handbag;Accessories;Missouri;M;Pink;Spring
11;53;Male;Shoes;Footwear;Arkansas;L;Purple;Fall
12;30;Male;Shorts;Clothing;Hawaii;S;Olive;Winter
13;61;Male;Coat;Outerwear;Delaware;M;Gold;Winter
14;65;Male;Dress;Clothing;New Hampshire;M;Violet;Spring
15;64;Male;Coat;Outerwear;New York;L;Teal;Winter
16;64;Male;Skirt;Clothing;Rhode Island;M;Teal;Winter
17;25;Male;Sunglasses;Accessories;Alabama;S;Gray;Spring
18;53;Male;Dress;Clothing;Mississippi;XL;Lavender;Winter
19;52;Male;Sweater;Clothing;Montana;S;Black;Summer
20;66;Male;Pants;Clothing;Rhode Island;M;Green;Summer
21;21;Male;Pants;Clothing;Louisiana;M;Black;Winter
22;31;Male;Pants;Clothing;North Carolina;M;Charcoal;Winter
6;46;Male;Sneakers;Footwear;Wyoming;M;White;Summer
23;56;Male;Pants;Clothing;California;M;Peach;Summer
24;31;Male;Pants;Clothing;Oklahoma;XL;White;Winter
25;18;Male;Jacket;Outerwear;Florida;M;Green;Fall
26;18;Male;Hoodie;Clothing;Texas;M;Silver;Summer
27;38;Male;Jewelry;Accessories;Nevada;M;Red;Spring
28;56;Male;Shorts;Clothing;Kentucky;L;Cyan;Summer
29;54;Male;Handbag;Accessories;North Carolina;M;Gray;Fall
30;31;Male;Dress;Clothing;Wyoming;S;Black;Fall
31;57;Male;Jewelry;Accessories;North Carolina;L;Black;Winter
32;33;Male;Dress;Clothing;West Virginia;L;Brown;Winter
33;36;Male;Jacket;Outerwear;Kansas;M;Silver;Summer
34;54;Male;Pants;Clothing;Colorado;L;Green;Summer
35;36;Male;T-shirt;Clothing;North Dakota;L;Violet;Spring
36;54;Male;Blouse;Clothing;Massachusetts;M;Cyan;Summer
37;35;Male;T-shirt;Clothing;Illinois;M;Maroon;Winter
38;35;Male;Jeans;Clothing;Indiana;S;Cyan;Summer
39;29;Male;Dress;Clothing;Florida;M;Red;Winter
40;70;Male;Pants;Clothing;Arizona;S;Turquoise;Summer
41;69;Male;Handbag;Accessories;Louisiana;L;Beige;Winter
42;67;Male;Scarf;Accessories;Alaska;M;Orange;Spring
43;20;Male;Coat;Outerwear;Tennessee;M;Beige;Spring
44;25;Male;Scarf;Accessories;Ohio;L;Lavender;Fall
45;39;Male;Hat;Accessories;Kentucky;S;Silver;Summer
46;50;Male;Socks;Clothing;Tennessee;XL;Indigo;Fall
47;57;Male;Shirt;Clothing;California;L;White;Summer
48;55;Male;Jewelry;Accessories;Montana;M;Charcoal;Winter
49;42;Male;Shirt;Clothing;Nevada;M;Orange;Summer
50;68;Male;Hoodie;Clothing;New Jersey;S;Indigo;Spring
51;49;Male;Blouse;Clothing;Maryland;M;Red;Spring
52;59;Male;Skirt;Clothing;Vermont;XL;Gray;Winter
53;42;Male;T-shirt;Clothing;Alaska;M;Green;Summer
54;29;Male;Skirt;Clothing;Mississippi;S;Peach;Winter
55;47;Male;Coat;Outerwear;New Mexico;M;Brown;Summer
56;40;Male;Jacket;Outerwear;South Carolina;M;Lavender;Winter
57;41;Male;Backpack;Accessories;Mississippi;XL;Brown;Summer
58;21;Male;Coat;Outerwear;West Virginia;M;White;Summer
59;69;Male;Hoodie;Clothing;Missouri;M;Charcoal;Summer
60;63;Male;Belt;Accessories;Louisiana;L;Yellow;Spring
61;50;Male;Sweater;Clothing;Idaho;L;Brown;Summer
62;55;Male;Scarf;Accessories;Texas;M;Orange;Winter
63;30;Male;Sneakers;Footwear;Mississippi;S;Magenta;Spring
64;33;Male;Sunglasses;Accessories;Arizona;L;Lavender;Winter
65;65;Male;Boots;Footwear;Alabama;S;Green;Fall
66;65;Male;Backpack;Accessories;New Jersey;M;Purple;Spring
