Customer ID;Item Purchased;Category;Size;Color;Season
1;Blouse;Clothing;L;Gray;Winter
2;Sweater;Clothing;L;Maroon;Winter
3;Jeans;Clothing;S;Maroon;Spring
4;Sandals;Footwear;M;Maroon;Spring
5;Blouse;Clothing;M;Turquoise;Spring
6;Sneakers;Footwear;M;White;Summer
7;Shirt;Clothing;M;Gray;Fall
8;Shorts;Clothing;L;Charcoal;Winter
9;Coat;Outerwear;L;Silver;Summer
10;Handbag;Accessories;M;Pink;Spring
11;Shoes;Footwear;L;Purple;Fall
12;Shorts;Clothing;S;Olive;Winter
13;Coat;Outerwear;M;Gold;Winter
14;Dress;Clothing;M;Violet;Spring
15;Coat;Outerwear;L;Teal;Winter
16;Skirt;Clothing;M;Teal;Winter
17;Sunglasses;Accessories;S;Gray;Spring
18;Dress;Clothing;XL;Lavender;Winter
19;Sweater;Clothing;S;Black;Summer
20;Pants;Clothing;M;Green;Summer
21;Pants;Clothing;M;Black;Winter
22;Pants;Clothing;M;Charcoal;Winter
6;Sneakers;Footwear;M;White;Summer
23;Pants;Clothing;M;Peach;Summer
24;Pants;Clothing;XL;White;Winter
25;Jacket;Outerwear;M;Green;Fall
26;Hoodie;Clothing;M;Silver;Summer
27;Jewelry;Accessories;M;Red;Spring
28;Shorts;Clothing;L;Cyan;Summer
29;Handbag;Accessories;M;Gray;Fall
30;Dress;Clothing;S;Black;Fall
31;Jewelry;Accessories;L;Black;Winter
32;Dress;Clothing;L;Brown;Winter
33;Jacket;Outerwear;M;Silver;Summer
34;Pants;Clothing;L;Green;Summer
35;T-shirt;Clothing;L;Violet;Spring
36;Blouse;Clothing;M;Cyan;Summer
37;T-shirt;Clothing;M;Maroon;Winter
38;Jeans;Clothing;S;Cyan;Summer
39;Dress;Clothing;M;Red;Winter
40;Pants;Clothing;S;Turquoise;Summer
41;Handbag;Accessories;L;Beige;Winter
42;Scarf;Accessories;M;Orange;Spring
43;Coat;Outerwear;M;Beige;Spring
44;Scarf;Accessories;L;Lavender;Fall
45;Hat;Accessories;S;Silver;Summer
46;Socks;Clothing;XL;Indigo;Fall
47;Shirt;Clothing;L;White;Summer
48;Jewelry;Accessories;M;Charcoal;Winter
49;Shirt;Clothing;M;Orange;Summer
50;Hoodie;Clothing;S;Indigo;Spring
51;Blouse;Clothing;M;Red;Spring
52;Skirt;Clothing;XL;Gray;Winter
53;T-shirt;Clothing;M;Green;Summer
54;Skirt;Clothing;S;Peach;Winter
55;Coat;Outerwear;M;Brown;Summer
56;Jacket;Outerwear;M;Lavender;Winter
57;Backpack;Accessories;XL;Brown;Summer
58;Coat;Outerwear;M;White;Summer
59;Hoodie;Clothing;M;Charcoal;Summer
60;Belt;Accessories;L;Yellow;Spring
61;Sweater;Clothing;L;Brown;Summer
62;Scarf;Accessories;M;Orange;Winter
63;Sneakers;Footwear;S;Magenta;Spring
64;Sunglasses;Accessories;L;Lavender;Winter
65;Boots;Footwear;S;Green;Fall
66;Backpack;Accessories;M;Purple;Spring
67;Blouse;Clothing;S;Magenta;Winter
68;Coat;Outerwear;L;Gray;Winter
69;Handbag;Accessories;L;Silver;Summer
70;Belt;Accessories;S;Cyan;Summer
71;Belt;Accessories;M;Magenta;Fall
72;Dress;Clothing;L;Gold;Summer
73;Dress;Clothing;M;Olive;Winter
74;Pants;Clothing;M;Teal;Spring
75;Gloves;Accessories;L;Violet;Spring
76;Scarf;Accessories;M;Blue;Summer
77;Hat;Accessories;S;Teal;Summer
78;Dress;Clothing;L;Gold;Summer
79;Skirt;Clothing;M;Maroon;Spring
80;Jacket;Outerwear;M;Olive;Winter
81;Sandals;Footwear;XL;Blue;Summer
82;Shoes;Footwear;L;Maroon;Summer
83;Pants;Clothing;S;Olive;Spring
84;Dress;Clothing;M;Turquoise;Summer
85;Coat;Outerwear;S;Peach;Spring
86;Sunglasses;Accessories;M;Charcoal;Winter
87;Hoodie;Clothing;L;Pink;Spring
88;Shoes;Footwear;M;Green;Fall
89;T-shirt;Clothing;M;Orange;Fall
90;Jacket;Outerwear;XL;Pink;Fall
91;Hat;Accessories;L;Violet;Summer
92;Scarf;Accessories;S;Green;Winter
93;Jacket;Outerwear;M;Olive;Winter
94;Sweater;Clothing;M;Purple;Fall
95;Skirt;Clothing;S;Silver;Spring
96;Sneakers;Footwear;L;Pink;Fall
97;Gloves;Accessories;S;Gold;Spring
98;Shoes;Footwear;M;Teal;Winter
99;Jeans;Clothing;XL;Teal;Spring
100;Hoodie;Clothing;XL;Indigo;Summer
101;Sunglasses;Accessories;M;Maroon;Fall
102;Coat;Outerwear;XL;White;Spring
103;Socks;Clothing;L;Violet;Winter
104;Boots;Footwear;L;Red;Winter
105;Sunglasses;Accessories;L;Pink;Spring
106;Backpack;Accessories;M;Charcoal;Fall
107;Jacket;Outerwear;L;White;Summer
108;Sneakers;Footwear;L;Olive;Winter
109;Socks;Clothing;L;Purple;Spring
110;T-shirt;Clothing;M;Violet;Spring
111;Backpack;Accessories;M;Black;Summer
112;Belt;Accessories;L;Purple;Summer
113;Gloves;Accessories;M;Red;Spring
114;Hat;Accessories;L;Maroon;Winter
115;Coat;Outerwear;S;Blue;Summer
116;Skirt;Clothing;M;Gray;Spring
117;Shoes;Footwear;S;Blue;Spring
118;Sandals;Footwear;L;Yellow;Summer
119;Sweater;Clothing;L;Orange;Fall
120;Coat;Outerwear;M;Orange;Fall
121;Hat;Accessories;L;Red;Summer
122;Shorts;Clothing;M;Olive;Winter
123;Backpack;Accessories;L;Brown;Spring
124;Sweater;Clothing;L;Brown;Fall
125;Sweater;Clothing;M;Gray;Spring
126;Shorts;Clothing;M;Indigo;Winter
127;Shorts;Clothing;L;Pink;Spring
128;Sweater;Clothing;M;Gray;Winter
129;Scarf;Accessories;M;Gold;Spring
130;Dress;Clothing;XL;Olive;Summer
131;Scarf;Accessories;L;Violet;Fall
132;Skirt;Clothing;L;Indigo;Summer
133;Backpack;Accessories;M;Orange;Fall
134;Sweater;Clothing;M;Violet;Winter
135;Hat;Accessories;L;Gray;Fall
136;Sandals;Footwear;M;Purple;Fall
137;Blouse;Clothing;M;White;Winter
138;Sneakers;Footwear;M;Turquoise;Spring
139;Skirt;Clothing;M;Maroon;Winter
140;Coat;Outerwear;M;White;Fall
141;Shirt;Clothing;L;Yellow;Fall
142;Gloves;Accessories;M;Turquoise;Fall
143;Jacket;Outerwear;L;Violet;Fall
144;Coat;Outerwear;M;Beige;Fall
145;Shoes;Footwear;M;Silver;Fall
146;Jewelry;Accessories;M;Teal;Fall
147;Skirt;Clothing;S;Black;Fall
148;Shoes;Footwear;M;Purple;Summer
149;Gloves;Accessories;M;Gray;Fall
150;Pants;Clothing;M;White;Summer
151;Boots;Footwear;L;Cyan;Fall
152;Sunglasses;Accessories;L;Turquoise;Fall
153;Shirt;Clothing;S;Brown;Summer
154;Hoodie;Clothing;M;Maroon;Winter
155;Dress;Clothing;M;Charcoal;Fall
156;Socks;Clothing;S;Olive;Spring
157;Shorts;Clothing;M;Lavender;Fall
158;Hat;Accessories;S;Yellow;Fall
159;Shirt;Clothing;XL;Teal;Fall
160;Gloves;Accessories;M;Charcoal;Fall
161;Gloves;Accessories;M;Orange;Summer
162;Backpack;Accessories;M;Olive;Fall
163;Sunglasses;Accessories;M;Turquoise;Summer
164;Skirt;Clothing;M;Purple;Summer
165;Handbag;Accessories;S;Purple;Spring
166;Handbag;Accessories;S;Yellow;Winter
167;Sneakers;Footwear;XL;Indigo;Fall
168;Gloves;Accessories;M;Green;Fall
169;Shoes;Footwear;M;Magenta;Summer
170;Jacket;Outerwear;S;Gold;Summer
171;Shirt;Clothing;M;Maroon;Fall
172;Shorts;Clothing;M;Blue;Summer
173;Jewelry;Accessories;M;Violet;Summer
174;Hat;Accessories;M;Turquoise;Fall
175;Shoes;Footwear;L;Brown;Winter
176;Coat;Outerwear;L;Violet;Fall
177;Backpack;Accessories;L;Black;Spring
178;Hoodie;Clothing;L;Magenta;Fall
179;Skirt;Clothing;L;Lavender;Fall
180;Boots;Footwear;M;Violet;Fall
181;Sandals;Footwear;L;Green;Fall
182;Pants;Clothing;M;Beige;Summer
183;Gloves;Accessories;XL;Purple;Summer
184;Skirt;Clothing;XL;Beige;Spring
185;Sneakers;Footwear;L;Cyan;Spring
186;T-shirt;Clothing;XL;Silver;Summer
187;Backpack;Accessories;S;Lavender;Summer
188;Shoes;Footwear;S;Purple;Spring
189;Hoodie;Clothing;M;Pink;Spring
190;Blouse;Clothing;M;Maroon;Fall
191;Coat;Outerwear;XL;Beige;Fall
192;Hat;Accessories;M;Gray;Fall
193;Shoes;Footwear;L;Turquoise;Summer
194;Belt;Accessories;S;Silver;Fall
195;Backpack;Accessories;M;Olive;Spring
196;Jacket;Outerwear;M;Magenta;Fall
197;Boots;Footwear;M;Lavender;Summer
198;Scarf;Accessories;M;Black;Fall
199;Jewelry;Accessories;M;Turquoise;Winter
200;Hat;Accessories;XL;Green;Summer
201;Dress;Clothing;S;Teal;Summer
202;Blouse;Clothing;S;Beige;Fall
203;Hat;Accessories;L;Magenta;Spring
204;Scarf;Accessories;S;Yellow;Fall
205;Sneakers;Footwear;M;Yellow;Fall
206;Shirt;Clothing;M;Silver;Winter
207;T-shirt;Clothing;L;Silver;Summer
208;Gloves;Accessories;M;Silver;Summer
